27 0.8999 0.9805 0.948558 (4,4,3,0,1,0) (0,1,4,4,0,0)
28 0.9291 0.9885 0.962859 (2,4,4,0,1,0) (0,0,0,3,4,0)
29 0.9496 0.9897 0.974547 (3,3,4,0,1,0) (1,0,4,4,0,0)
30 0.9542 0.9943 0.980527 (3,4,2,1,1,0) (1,1,3,4,0,0)
31 0.9698 0.9955 0.988046 (4,2,4,0,1,0) (0,3,0,2,3,0)
32 0.9707 0.9992 0.990885 (4,4,1,0,2,0) (0,0,4,4,0,0)
33 0.982 0.9984 0.995081 (4,3,3,0,1,0) (0,0,1,4,2,0)
34 0.9907 0.9998 0.996231 (4,0,4,1,1,0) (0,1,3,4,0,0)
35 0.9903 1 0.997985 (4,4,2,0,1,0) (1,0,0,3,3,0)
36 0.9957 1 0.998715 (4,3,0,1,2,0) (4,3,4,0,0,0)
37 0.9974 0.9999 0.999323 (3,3,3,0,1,0) (1,4,1,3,0,0)
38 0.9987 1 0.999563 (2,3,2,0,2,0) (4,4,3,0,0,0)
39 0.9989 1 0.999807 (4,3,1,1,1,0) (3,3,3,1,0,0)
40 0.9994 1 0.999912 (4,1,0,3,1,0) (3,3,4,0,0,0)
41 0.9993 1 0.99992 (4,4,0,1,1,0) (1,4,3,1,0,0)
42 0.9999 1 0.999982 (4,4,1,0,1,0) (3,4,3,0,0,0)
43 0.9999 1 0.999991 (2,4,2,0,1,0) (2,3,3,1,0,0)
44 0.9999 1 0.999994 (4,0,0,2,2,0) (4,3,3,0,0,0)
45 1 1 1 (0,4,3,1,0,0) (0,4,3,1,0,0)
46 1 1 1 (4,4,2,0,0,0) (4,4,2,0,0,0)
47 0.9999 1 0.999997 (2,2,3,0,1,0) (2,1,4,1,0,0)
48 1 1 1 (3,3,3,0,0,0) (3,3,3,0,0,0)
49 1 1 1 (0,2,4,1,0,0) (0,2,4,1,0,0)
50 1 1 1 (3,4,2,0,0,0) (3,4,2,0,0,0)
51 1 1 1 (4,3,2,0,0,0) (4,3,2,0,0,0)
52 1 1 1 (4,4,0,1,0,0) (4,4,0,1,0,0)
