-40 0 0 0 (4,4,4,4,4,0) (4,4,4,4,4,0)
-36 0 0 0 (3,4,4,4,4,0) (3,4,4,4,4,0)
-34 0 0 0 (4,3,4,4,4,0) (4,3,4,4,4,0)
-33 0 0 0 (4,4,3,4,4,0) (4,4,3,4,4,0)
-32 0 0 0 (2,4,4,4,4,0) (2,4,4,4,4,0)
-31 0 0 0 (4,4,4,3,4,0) (4,4,4,3,4,0)
-30 0 0 0 (4,4,4,4,3,0) (4,4,4,4,3,0)
-29 0 0 0 (3,4,3,4,4,0) (3,4,3,4,4,0)
-28 0 0 0 (1,4,4,4,4,0) (1,4,4,4,4,0)
-27 0 0 0 (3,4,4,3,4,0) (3,4,4,3,4,0)
-26 0 0 0 (3,4,4,4,3,0) (3,4,4,4,3,0)
-25 0 0 0 (4,4,2,4,4,0) (4,4,2,4,4,0)
-24 0 0 0 (4,3,4,4,3,0) (4,3,4,4,3,0)
-23 0 0 0 (4,4,3,4,3,0) (4,4,3,4,3,0)
-22 0 0 0 (2,4,4,4,3,0) (2,4,4,4,3,0)
-21 0 0 0 (4,4,4,3,3,0) (4,4,4,3,3,0)
-20 0 0 0 (4,4,4,4,2,0) (4,4,4,4,2,0)
-19 0 0 0 (3,4,3,4,3,0) (3,4,3,4,3,0)
-18 0 0 0 (1,4,4,4,3,0) (1,4,4,4,3,0)
-17 0 0 0 (3,4,4,3,3,0) (3,4,4,3,3,0)
-16 0 0 0 (3,4,4,4,2,0) (3,4,4,4,2,0)
-15 0 0 0 (4,4,2,4,3,0) (4,4,2,4,3,0)
-14 0 0 0 (4,3,4,4,2,0) (4,3,4,4,2,0)
-13 0 0 0 (4,4,3,4,2,0) (4,4,3,4,2,0)
-12 0 0 0 (2,4,4,4,2,0) (2,4,4,4,2,0)
-11 0 0 0 (4,4,4,3,2,0) (4,4,4,3,2,0)
-10 0 0 0 (4,4,4,4,1,0) (4,4,4,4,1,0)
-9 0 0 0 (3,4,3,4,2,0) (3,4,3,4,2,0)
-8 0 0 0 (1,4,4,4,2,0) (1,4,4,4,2,0)
-7 0 0 0 (3,4,4,3,2,0) (3,4,4,3,2,0)
